Vehicle_Name,Type,Manufacturer,Model,Country,Introduced_Year,0-100_kph_(s),100-0_(m),Top_Speed_(kph),Curb_Weight_(kg),Wheelbase_(m),Length_(m),Width_(m),Height_(m),Engine,Displacement_(l),Power_(ps),Torque_(Nm),Engine_Layout,Wheel_Drive,Class,Trasmission_Name,Trasmission_Type,N_Trasmission
904/4 Carrera GTS (180 PS),Car,Porsche,904/4 Carrera GTS (180 PS),Germany,,,,,612.0,,,,,2.0 L H4,2.0,180.0,197.0,Middle,Rear,Coupe,5-speed Manual,Manual,5.0
908 LH Coupé (Langheck),Car,Porsche,908 LH Coupé (Langheck),Germany,,,,,770.0,,,,,3.0L F-8,3.0,350.0,319.0,Middle,Rear,Coupe,5-speed Manual,Manual,5.0
911 Carrera 4S Cabriolet,Car,Porsche,911 Carrera 4S Cabriolet (991),Germany,2012.0,4.2,,294.0,1535.0,2.45,4.49,1.85,1.29,"Boxer 6, n/a, DOHC, 24v",3.8,400.0,440.0,Rear,All,Convertible,Other,Other,
911 Carrera GTS Cabriolet,Car,Porsche,911 Carrera GTS Cabriolet (991 facelift),Germany,2016.0,3.4,33.0,309.0,1577.5,,,,,Flat 6 twin turbo,3.0,450.0,550.0,Rear,Rear,Convertible,7 speed dual-clutch automatic (PDK),Dual-Clutch,7.0
911 Carrera S Cabriolet,Car,Porsche,911 Carrera S Cabriolet (991),Germany,2012.0,4.2,32.0,301.0,1527.0,2.45,4.49,1.81,1.29,boxer/6,3.8,400.0,440.0,Rear,Rear,Convertible,"7-speed-manual, 7-speed-PDK",Manual,7.0
911 Carrera S Powerkit X51,Car,Porsche,911 Carrera S Powerkit X51,Germany,2012.0,4.0,,308.0,1415.0,2.45,4.49,1.81,1.3,6-cylinder boxer,3.8,430.0,440.0,Rear,Rear,Coupe,"7-Speed manual, 7-Speed PDK",Manual,7.0
911 GT3 Manthey  K..,Car,Porsche,911 GT3 Manthey Performance Kit (992),Germany,2022.0,3.1,30.0,318.0,1470.5,,,,,B6 DOHC,4.0,510.0,470.0,Rear,Rear,Coupe,7 speed PDK,Other,7.0
911 GT3 Touring Package,Car,Porsche,911 GT3 Touring Package (991 facelift),Germany,2018.0,3.9,32.0,316.0,1426.5,,,,,naturally aspirated flat 6,4.0,500.0,460.0,Rear,Rear,Coupe,6 speed manual,Manual,6.0
9ff BT-2,Car,9ff,BT-2,,,3.0,,386.0,,,,,,M96/70S B6 Twin Turbo,3.6,862.0,920.0,Middle,Rear,Coupe,6 speed manual,Manual,6.0
9ff G-Track,Car,9ff,G-Track,Germany,2011.0,4.3,34.0,298.0,1359.0,,,,,Boxer 6,3.8,450.0,430.0,Rear,Rear,Coupe,6 speed manual,Manual,6.0
9ff Speed9,Car,9ff,Speed9,Germany,2009.0,4.0,38.0,323.0,1412.0,,,,,DOHC 4 Valve Boxer 6,3.8,650.0,890.0,Rear,Rear,Convertible,7-Speed Dual Clutch,Dual-Clutch,7.0
A1 Quattro Limited Edition,Car,Audi,A1 Quattro Limited Edition,Germany,2012.0,5.6,,245.0,1430.0,,3.99,1.74,1.42,inline 4 16V Turbo,2.0,256.0,350.0,Front,All,Coupe,6 speed manual,Manual,6.0
A3 Sportback 2.0 TDI Quattro ..,Car,Audi,A3 Sportback 2.0 TDI Quattro S Tronic,,2013.0,7.1,,221.0,1310.0,,,,,Inline 4 turbo diesel,2.0,187.0,380.0,Front,All,Compact,S Tronic,Other,
AC Cobra 427,Car,AC,Cobra 427,United Kingdom,1966.0,4.2,,266.0,1147.0,,,,,"V8, 16 Valves",7.0,416.0,651.0,Front,Rear,Convertible,,Other,
AC Cobra Le Mans Coupe,Car,AC,Cobra Le Mans Coupe,United States,1963.0,,,,,,,,,V8,4.7,335.0,,Front,Rear,Coupe,4 speed manual,Manual,4.0
AC Coupe Le Mans (A98),Car,AC,Coupe Le Mans (A98),United Kingdom,1964.0,,,,,,,,,V8,4.7,380.0,,Front,Rear,Coupe,4 speed manual,Manual,4.0
AMG GT 63 S E ,Car,Mercedes-Benz,AMG GT 63 S E Performance (X290),Germany,2021.0,2.8,34.0,316.0,2375.5,,,,,V8 Biturbo + E-motor,4.0,843.0,1400.0,Front,All,4-door saloon,9 speed automatic,Automatic,9.0
AMG GT Black Series,Car,Mercedes-Benz,AMG GT Black Series,Germany,2020.0,3.1,28.0,325.0,1640.0,,,,,V8 Twin Turbo,4.0,730.0,800.0,Front,Rear,Coupe,,Other,
AMG GT C Roadster,Car,Mercedes-Benz,AMG GT C Roadster,Germany,2017.0,3.5,32.0,316.0,1692.5,,,,,"V8, biturbo, DI, 32 valves, DOHC",4.0,557.0,680.0,Front,Rear,Convertible,7 speed double clutch automatic,Automatic,7.0
AMG GT R Roadster,Car,Mercedes-Benz,AMG GT R Roadster,Germany,2019.0,3.6,33.0,317.0,1674.0,,,,,V8 twin turbo 32 valve DOHC,4.0,585.0,700.0,Front,Rear,Convertible,7 speed dual clutch automatic,Dual-Clutch,7.0
Abarth 1000,Car,Abarth,1000,Italy,1963.0,,,,570.0,,,,,Inline 4,1.0,66.0,,Rear,Rear,Coupe,4 speed manual,Manual,4.0
Abarth 1000 Berlina,Car,Abarth,1000 Berlina,Italy,1962.0,,,,,,,,,Inline 4,1.0,60.0,92.0,Rear,Rear,Compact,4 speed manual,Manual,4.0
Abarth 124 Spider,Car,Abarth,124 Spider,Italy,2016.0,6.8,35.0,232.0,1146.5,,,,,Inline 4 turbo 16V,1.4,170.0,250.0,Front,Rear,Convertible,Other,Other,
Abarth 500,Car,Abarth,500,Italy,2008.0,7.9,37.0,205.0,1094.0,,,,,"Inline 4, Turbocharged",1.4,135.0,206.0,Front,Front,Compact,5,Other,5.0
Abarth 500 (162 PS),Car,Abarth,500 (162 PS),Italy,2012.0,,,,1155.5,,,,,Inline 4 turbo,1.4,162.0,230.0,Front,Front,Compact,5 speed manual,Manual,5.0
Abarth 500 EsseEsse,Car,Abarth,500 EsseEsse,Italy,2008.0,7.4,,211.0,1079.0,,,,,"Inline 4, turbocharged",1.4,160.0,230.0,Front,Front,Compact,5 Speed manual,Manual,5.0
Abarth 500c Esseesse,Car,Abarth,500c Esseesse,Italy,2010.0,,,,,,,,,Inline 4 turbo,1.4,160.0,230.0,Front,Front,Convertible,5 speed semi-automatic,Semi-Automatic,5.0
Abarth 595 Competizione,Car,Abarth,595 Competizione,Italy,2015.0,6.7,35.0,225.0,1107.5,,,,,Inline 4 turbo,1.4,180.0,250.0,Front,Front,Compact,5 speed manual,Manual,5.0
Abarth 695 70° Anniversario,Car,Abarth,695 70° Anniversario,Italy,,6.5,34.0,225.0,1104.0,,,,,Inline 4 turbo,1.4,180.0,250.0,Front,Front,Compact,5 speed manual,Manual,5.0
Abarth 695 Tributo Ferrari,Car,Abarth,695 Tributo Ferrari,Italy,2009.0,6.9,37.0,225.0,1143.0,,,,,inline4 16V T-JET,1.4,179.0,230.0,Front,Front,Compact,5-speed semi automatic,Semi-Automatic,5.0
Abarth 695 biposto,Car,Abarth,695 biposto,Italy,2014.0,5.9,35.0,230.0,979.0,,,,,"Straight 4  4 valves / cylinder, DOHC",1.4,190.0,,Front,Front,Compact,Dog shift 5 speed Manual,Manual,5.0
Abarth 700 Coupe,Car,Abarth,700 Coupe,Italy,1960.0,,,,,,,,,Inline 4,0.7,,,Rear,Rear,Coupe,4 speed manual,Manual,4.0
Abarth 850 TC Berlina,Car,Abarth,850 TC Berlina,Italy,1961.0,,,158.0,613.0,,,,,S4 0.8 8V,0.8,53.0,69.0,Rear,Rear,Compact,,Other,
Abarth Grande Punto,Car,Abarth,Grande Punto,Italy,2007.0,7.8,37.0,208.0,1258.0,,,,,"R4 Turbo, 16 valve",1.4,155.0,230.0,Front,Front,Compact,6,Other,6.0
Abarth Punto EVO,Car,Abarth,Punto EVO,Italy,2010.0,7.8,38.0,215.0,1185.0,,,,,"Inline 4, Turbocharged",1.4,165.0,250.0,Front,Front,Compact,6 speed manual,Manual,6.0
Abarth Punto SuperSport,Car,Abarth,Punto SuperSport,Italy,2011.0,7.5,,,1160.0,,,,,Transverse Turbocharged Inline-4,1.4,180.0,270.0,Front,Front,Compact,6-Speed,Other,6.0
Abarth Simca 1300 Bialbero,Car,Abarth Simca,1300 Bialbero,Italy,1962.0,,,,,,,,,Inline 4,1.3,127.0,,Front,Rear,Coupe,4 speed manual,Manual,4.0
Abarth Simca 2000,Car,Abarth Simca,2000,Italy,1963.0,,,263.0,689.0,2.09,3.61,1.48,1.2,V4,1.9,192.0,,Front,Rear,Coupe,5-gears manual,Manual,5.0
Acura ARX-01a,Car,Acura,ARX-01a,Germany,,,,,825.0,,,,,V8 DOHC,3.4,558.0,,Middle,Rear,Coupe,6 speed Sequential,Sequential,6.0
Acura ARX-01b,Car,Acura,ARX-01b,Japan,,,,,825.0,,,,,V8 DOHC,3.4,558.0,,Middle,Rear,Coupe,6 speed Sequential,Sequential,6.0
Acura Integra,Car,Acura,Integra,Japan,2022.0,,,,1395.5,,,,,1.5 L L15CA turbo DOHC I4,1.5,203.0,260.0,Front,Front,4-door saloon,6-speed manual,Manual,6.0
Acura NSX Alex Zanardi Edition,Car,Acura,NSX Alex Zanardi Edition,Japan,,,,,,,,,,V6,3.2,294.0,304.0,Middle,Rear,Coupe,6 speed manual,Manual,6.0
Acura NSX Type S (Mk II),Car,Acura,NSX Type S (Mk II),Japan,,,,307.0,1737.5,2.63,4.47,1.94,1.22,Twin-Turbo 75-Degree V6 Hybrid,3.5,608.0,667.0,Middle,All,Coupe,9-speed DCT,Other,9.0
Acura RDX SH-AWD,Car,Acura,RDX SH-AWD,Japan,2013.0,7.3,,217.0,1744.0,2.69,4.66,1.87,1.68,DOHC V6 VTEC,3.5,277.0,340.0,Front,All,SUV/truck,6 speed auto,Other,6.0
Acura TL,Car,Acura,TL,Japan,2009.0,6.1,,242.0,1758.0,,,,,V6,3.7,309.0,370.0,Front,All,4-door saloon,"6 speed manual, 5 speed automatic",Manual,6.0
Acura TL Type S,Car,Acura,TL Type S,United States,2007.0,,,243.0,1630.0,,,,,V6 24V n/a,3.5,290.0,347.0,Front,Front,4-door saloon,5 speed automatic,Automatic,5.0
Acura TLX Type S,Car,Acura,TLX Type S,Japan,2020.0,,,249.0,1911.5,,,,,V6 Turbocharged,3.0,360.0,480.0,Front,All,4-door saloon,10 speed automatic,Automatic,10.0
Alfa Romeo 147 2.0 TS,Car,Alfa Romeo,147 2.0 TS,Italy,2001.0,9.3,38.0,212.0,1263.5,,,,,"Inline 4, 16v",2.0,150.0,181.0,Front,Front,Compact,5,Other,5.0
Alfa Romeo 147 GTA,Car,Alfa Romeo,147 GTA,Italy,,6.3,38.0,246.0,1393.5,,,,,V6 n/a,3.2,250.0,300.0,Front,Front,Compact,6,Other,6.0
Alfa Romeo 156 2.0 TS,Car,Alfa Romeo,156 2.0 TS,Italy,1997.0,8.6,37.0,216.0,1282.5,,,,,"Inline 4, 16v",2.0,155.0,187.0,Front,Front,4-door saloon,5,Other,5.0
Alfa Romeo 156 GTA,Car,Alfa Romeo,156 GTA,Italy,2003.0,6.3,38.0,250.0,1465.0,,,,,V6,3.2,250.0,300.0,Front,Front,4-door saloon,6,Other,6.0
Alfa Romeo 159 2.2 JTS,Car,Alfa Romeo,159 2.2 JTS,Italy,2005.0,8.7,,223.0,1465.0,,,,,"Inline 4, 16v",2.2,185.0,230.0,Front,Front,Estate/wagon,6,Other,6.0
Alfa Romeo 159 2.4 JTDm,Car,Alfa Romeo,159 2.4 JTDm,Italy,2005.0,8.3,37.0,228.0,1605.0,,,,,"Inline 5, Turbocharged, Diesel",2.4,200.0,400.0,Front,Front,4-door saloon,6,Other,6.0
Alfa Romeo 2600 Sprint,Car,Alfa Romeo,2600 Sprint,Italy,,,,,,,,,,Inline 6,2.6,145.0,189.0,Front,Rear,Coupe,5 speed manual,Manual,5.0
Alfa Romeo 4C,Car,Alfa Romeo,4C,Italy,2013.0,4.2,31.0,258.0,1007.5,2.38,3.99,2.0,1.18,"Turbo 4-cylinder, DOHC, 16v",1.8,240.0,350.0,Middle,Rear,Coupe,TCT twin dry clutch,Other,
Alfa Romeo 4C Spyder ,Car,Alfa Romeo,4C Spyder,Italy,2015.0,4.6,37.0,257.0,1005.5,2.38,4.0,1.87,1.19,inline 4 TurboCharged,1.7,240.0,258.0,Middle,Rear,Coupe,6-speed dual-clutch automatic with manual shifting mode,Dual-Clutch,6.0
Alfa Romeo 75 V6 America,Car,Alfa Romeo,75 V6 America,Italy,1987.0,7.3,,220.0,1300.0,2.51,4.42,1.63,1.35,V6,3.0,188.0,245.0,Front,Rear,4-door saloon,5,Other,5.0
Alfa Romeo 8C Competizione,Car,Alfa Romeo,8C Competizione,Italy,2008.0,4.5,,306.0,1538.0,,,,,V8,4.7,450.0,470.0,Front,Rear,Coupe,6-Speed,Other,6.0
Alfa Romeo Alfasud 1.5 Ti QV,Car,Alfa Romeo,Alfasud 1.5 Ti QV,Italy,1983.0,11.0,,179.0,869.0,,,,,4 cylinders 2 valves SOHC,1.5,105.0,133.0,Front,Front,Compact,5 speed manual,Manual,5.0
Alfa Romeo Alfasud Ti 1.5,Car,Alfa Romeo,Alfasud Ti 1.5 (95 PS),Italy,,10.9,,180.0,,,,,,Inline 4,1.5,95.0,130.0,Front,Front,Compact,5 speed manual,Manual,5.0
Alfa Romeo Alfetta 1.8,Car,Alfa Romeo,Alfetta 1.8,Italy,1975.0,9.6,54.0,187.0,1065.0,,,,,Inline 4,1.8,121.0,176.0,Front,Rear,4-door saloon,5 speed manual,Manual,5.0
Alfa Romeo Alfetta GT,Car,Alfa Romeo,Alfetta GT,Italy,,,,190.0,1050.0,2.4,4.19,1.66,1.33,Line 4 SOHC,1.8,118.0,167.0,Front,Rear,Compact,5 speed manual,Manual,5.0
Alfa Romeo Brera 1.8 TBi,Car,Alfa Romeo,Brera 1.8 TBi,Italy,2009.0,8.2,,235.0,1605.0,,,,,inline4 16V DOHC Turbo,1.8,200.0,320.0,Front,Front,Coupe,6 speed manual,Manual,6.0
Alfa Romeo Brera 2.2 JTS,Car,Alfa Romeo,Brera 2.2 JTS,Italy,2006.0,8.5,,222.0,1445.0,,,,,Inline 4,2.2,185.0,230.0,Front,Front,Coupe,6,Other,6.0
Alfa Romeo Brera 2.4 JTD 200,Car,Alfa Romeo,Brera 2.4 JTD 200,Italy,2006.0,8.1,,228.0,1675.0,,,,,"5 cylinders, 20 valves turbo intercooler, common rail",2.4,200.0,400.0,Front,Front,Coupe,6,Other,6.0
Alfa Romeo Brera 3.2 JTS V6 Q4,Car,Alfa Romeo,Brera 3.2 JTS V6 Q4,Italy,2006.0,6.5,,240.0,1778.0,,,,,"V6, 24v",3.2,260.0,322.0,Front,All,Coupe,6,Other,6.0
Alfa Romeo C38,Car,Alfa Romeo,C38,Switzerland,,,,,,,,,,Ferrari V6 turbocharged hybrid,1.6,,,Middle,Rear,Open-wheeler,8 speed semi-automatic,Semi-Automatic,8.0
Alfa Romeo C39,Car,Alfa Romeo,C39,Italy,,,,,,,,,,Ferrari V6 turbocharged hybrid,1.6,,,Middle,Rear,Open-wheeler,8 speed semi-automatic,Semi-Automatic,8.0
Alfa Romeo C41,Car,Alfa Romeo,C41,Italy,,,,,,,,,,Ferrari V6 turbocharged hybrid,1.6,,,Middle,Rear,Open-wheeler,8 speed semi-automatic,Semi-Automatic,8.0
Alfa Romeo C42,Car,Alfa Romeo,C42,Italy,,,,,,,,,,Ferrari V6 turbocharged hybrid,1.6,,,Middle,Rear,Open-wheeler,8 speed semi-automatic,Semi-Automatic,8.0
Alfa Romeo GT 1.9 JTDm Q2,Car,Alfa Romeo,GT 1.9 JTDm Q2,Italy,2007.0,8.2,,216.0,1320.0,,,,,Inline-4 TURBO DIRECT INJECTION 16 valve,1.9,170.0,330.0,Front,Front,Coupe,6 speed manual,Manual,6.0
Alfa Romeo GT 3.2 V6,Car,Alfa Romeo,GT 3.2 V6,Italy,2004.0,6.6,,243.0,1385.0,,,,,"V6, 24v",3.2,239.0,300.0,Front,Front,Coupe,6,Other,6.0
Alfa Romeo GTV 2.0 TS,Car,Alfa Romeo,GTV 2.0 TS,Italy,1995.0,8.4,,218.0,1362.5,,,,,4 cylinder 16 valve,2.0,150.0,186.0,Front,Front,Coupe,5,Other,5.0
Alfa Romeo Giulia 2.2 JTD,Car,Alfa Romeo,Giulia 2.2 JTD (180 PS),Italy,2016.0,7.1,33.0,231.0,1454.0,,,,,"4L, turbodiesel",2.1,179.0,450.0,Front,Rear,4-door saloon,8 speed automatic,Automatic,8.0
Alfa Romeo Giulia GTAm,Car,Alfa Romeo,Giulia GTAm,Italy,2021.0,3.9,,300.0,1596.0,,,,,twin-turbocharged V6,2.9,539.0,,Front,Rear,4-door saloon,8-speed automatic,Automatic,8.0
Alfa Romeo Giulia QV,Car,Alfa Romeo,Giulia QV,Italy,2015.0,3.8,31.0,309.0,1711.5,,,,,Twin Turbo V6,2.9,510.0,,Front,Rear,4-door saloon,Other,Other,
Alfa Romeo Giulia TI,Car,Alfa Romeo,Giulia TI,Italy,1963.0,13.9,,165.0,1049.0,,,,,Inline 4,1.6,92.0,123.0,Front,Rear,4-door saloon,5 speed manual,Manual,5.0
Alfa Romeo Giulia TZ,Car,Alfa Romeo,Giulia TZ,Italy,,,,,,,,,,Inline 4,1.6,114.0,,Front,Rear,Coupe,5 speed manual,Manual,5.0
Alfa Romeo Giulia TZ2,Car,Alfa Romeo,Giulia TZ2,Italy,1965.0,,,,,,,,,Inline 4,1.6,,,Front,Rear,Coupe,4 speed manual,Manual,4.0
Alfa Romeo Giulietta 2.0 JTDM,Car,Alfa Romeo,Giulietta 2.0 JTDM,Italy,2010.0,7.7,35.0,219.0,1396.5,,,,,inline4 16V DOHC Turbo Diesel,2.0,170.0,350.0,Front,Front,Compact,6 speed manual,Manual,6.0
Alfa Romeo Guilietta SZ 1.6,Car,Alfa Romeo,Guilietta SZ 1.6,Italy,1963.0,,,,,,,,,Inline 4,1.6,,,Front,Rear,Coupe,4 speed manual,Manual,4.0
Alfa Romeo MiTo 1.4 TB 16V,Car,Alfa Romeo,MiTo 1.4 TB 16V,Italy,2008.0,8.4,,215.0,1250.0,,,,,4 inline 16V DOHC  turbocharged,1.4,155.0,230.0,Front,Front,Compact,6 speed manual,Manual,6.0
Alfa Romeo SZ,Car,Alfa Romeo,SZ,Italy,1989.0,7.0,,245.0,1256.0,,,,,V 6 in 60° SOHC  2 valves per cylinder 12 Total valves,3.0,210.0,245.0,Front,Rear,Coupe,5,Other,5.0
Alfa Romeo Spider Veloce,Car,Alfa Romeo,Spider Veloce (US spec),Italy,1976.0,,,171.0,1118.0,2.17,3.97,1.57,1.25,DOHC inline 4 cylinder,2.0,112.0,165.0,Front,Rear,Convertible,5 speed manual,Manual,5.0
Alfa Romeo Stelvio QV,Car,Alfa Romeo,Stelvio QV,Italy,2017.0,3.6,32.0,286.0,1937.0,,,,,Twin Turbo V6,2.9,510.0,600.0,Front,All,SUV/truck,Automatic Transmission,Other,
Alfa Romeo T33/2,Car,Alfa Romeo,T33/2,Italy,,,,,795.0,,,,,2.0L 90° V8,2.0,270.0,,Middle,Rear,Coupe,6-speed manual,Manual,6.0
Alfa Romeo Tipo 33TT3,Car,Alfa Romeo,Alfa Romeo Tipo 33TT3,Italy,,,,,720.0,,,,,Alfa Romeo 3.0L V8,3.0,450.0,,Middle,Rear,Convertible,5-speed Manual,Manual,5.0
AlphaTauri AT01,Car,AlphaTauri,AT01,Italy,,,,,,,,,,Honda V6 turbocharged hybrid,1.6,,,Middle,Rear,Open-wheeler,8 speed semi-automatic,Semi-Automatic,8.0
AlphaTauri AT02,Car,AlphaTauri,AT02,Italy,,,,,,,,,,Honda V6 turbocharged hybrid,1.6,,,Middle,Rear,Open-wheeler,8 speed semi-automatic,Semi-Automatic,8.0
AlphaTauri AT03,Car,AlphaTauri,AT03,Italy,,,,,,,,,,Honda V6 turbocharged hybrid,1.6,,,Middle,Rear,Open-wheeler,8 speed semi-automatic,Semi-Automatic,8.0
Alpina B10 Switchtronic,Car,Alpina,B10 Switchtronic,Germany,1997.0,5.4,41.0,279.0,1735.0,,,,,V8 32 valve,4.6,340.0,469.0,Front,Rear,4-door saloon,5,Other,5.0
Alpina B3  (G20),Car,Alpina,B3  (G20),Germany,2019.0,3.6,31.0,303.0,1819.5,,,,,S58 twin turbo i6,3.0,468.0,700.0,Front,All,4-door saloon,ZF 8 speed,Other,8.0
Alpina B3 Biturbo,Car,Alpina,B3 Biturbo,Germany,2007.0,4.9,,285.0,1626.0,,,,,inline 6 twin turbo,3.0,360.0,500.0,Front,Rear,4-door saloon,6 speed automatic,Automatic,6.0
Alpina B3 GT3,Car,Alpina,B3 GT3,Germany,2012.0,4.3,,300.0,1535.0,2.76,4.67,1.78,1.41,"i6, biturbo",3.0,408.0,540.0,Front,Rear,Coupe,6-speed ZF-Swith-tronic,Other,6.0
Alpina B3 Touring (G21),Car,Alpina,B3 Touring (G21),Germany,2019.0,3.6,32.0,300.0,1849.5,,,,,S58 i-6 twin turbo,3.0,468.0,700.0,Front,All,Estate/wagon,8 speed ZF,Other,8.0
Alpina B3S 3.3,Car,Alpina,B3S 3.3,Germany,2002.0,5.4,,271.0,1510.0,2.73,4.47,1.74,1.4,"R6, 24V",3.3,305.0,362.0,Front,Rear,Coupe,6-Speed manual,Manual,6.0
Alpina B4 Gran Coupe,Car,Alpina,B4 Gran Coupe,Germany,2022.0,3.6,33.0,301.0,1923.5,2.86,4.79,2.07,1.44,twin-turbocharged inline-six,3.0,495.0,730.0,Front,All,4-door saloon,8-Speed Sport Automatic,Automatic,8.0
Alpina B4 S Biturbo Coupé AWD,Car,Alpina,B4 S Biturbo Coupé AWD,Germany,2017.0,,,,1680.0,,,,,"Inline 6, biturbo, 24 valves",3.0,440.0,660.0,Front,All,Coupe,8 speed automatic,Automatic,8.0
Alpina B5,Car,Alpina,B5,Germany,2005.0,4.4,,314.0,1875.0,,,,,V8 32V 2xDOHC charger,4.4,500.0,700.0,Front,Rear,4-door saloon,6 automatic,Automatic,6.0
Alpina B5 Bi-turbo,Car,Alpina,B5 Bi-turbo,Germany,2010.0,4.5,34.0,313.0,2003.0,,,,,Twin-turbocharged V8,4.4,507.0,700.0,Front,Rear,4-door saloon,8,Other,8.0
Alpina B5 Biturbo (G30),Car,Alpina,B5 Biturbo (G30),Germany,2017.0,3.7,,,1940.0,,,,,"V8, biturbo",4.4,608.0,800.0,Front,All,4-door saloon,8 speed automatic,Automatic,8.0
Alpina B5 Biturbo Touring,Car,Alpina,B5 Biturbo Touring (G31),Germany,2017.0,3.4,32.0,330.0,2071.5,,,,,"V8, biturbo, DI, 32 valves, DOHC",4.4,608.0,800.0,Front,All,Estate/wagon,8 speed automatic,Automatic,8.0
Alpina B5 S,Car,Alpina,B5 S,Germany,2007.0,4.6,,322.0,1720.0,,,,,"V8, 90°",4.4,530.0,725.0,Front,Rear,4-door saloon,6,Other,6.0
